7.762494364482089816e-22,3.341296302403031064e-28
8.381748608570395197e-22,3.645431837550934988e-28
9.050403966880690600e-22,3.982241777783828224e-28
9.772401422564256561e-22,4.355905642938588749e-28
1.055199635154291990e-21,4.771203279586688237e-28
1.139378360495015635e-21,5.233604797032418351e-28
1.230272458892674668e-21,5.749373726890025034e-28
1.328417650522903259e-21,6.325685360970292405e-28
1.434392393101309262e-21,6.970762522947074304e-28
1.548821290607178218e-21,7.694030792452758520e-28
1.672378775099662157e-21,8.506296382359850246e-28
1.805793082042703928e-21,9.419949490547941680e-28
1.949850541667732750e-21,1.044919633261150965e-27
2.105400213908502170e-21,1.161032434298380226e-27
2.273358893159471502e-21,1.292200473445826800e-27
2.454716511029978004e-21,1.440563708088863280e-27
2.650541971488206607e-21,1.608574227943099666e-27
2.861989450636880058e-21,1.799040976730807237e-27
3.090305199396856968e-21,2.015180661788772683e-27
3.336834888494042236e-21,2.260675663056219686e-27
3.603031540890018159e-21,2.539739942101506236e-27
3.890464094120896077e-21,2.857193896126152349e-27
4.200826649515100292e-21,3.218549582761433384e-27
4.535948455485187896e-21,3.630107484025092217e-27
4.897804689032411146e-21,4.099066561177608789e-27
5.288528098353812772e-21,4.633649405797199692e-27
5.710421573493142887e-21,5.243244492413781317e-27
6.165971717348519226e-21,5.938567811807243559e-27
6.657863503689897275e-21,6.731846805906519210e-27
7.188996100373622398e-21,7.637029340732283430e-27
7.762499960773881058e-21,8.670021538792254934e-27
8.381755269956910023e-21,9.848957818739287273e-27
9.050411869486549647e-21,1.119450817382217018e-26
9.772410769287310768e-21,1.273022734011315951e-26
1.055200737693329572e-20,1.448295167559267186e-26
1.139379657906052770e-20,1.648325006332699636e-26
1.230273981743263106e-20,1.876593580751781191e-26
1.328419434422584291e-20,2.137064891490298867e-26
1.434394478581831709e-20,2.434251593975272367e-26
1.548823724457196731e-20,2.773289992790190641e-26
1.672381610539426781e-20,3.160025056808240349e-26
1.805796380446859124e-20,3.601107000304414047e-26
1.949854372691800516e-20,4.104100571621303920e-26
2.105404657887183654e-20,4.677609253871658835e-26
2.273364041151589558e-20,5.331415765927289486e-26
2.454722467627967595e-20,6.076641507302145850e-26
2.650548856246961704e-20,6.925926998740189761e-26
2.861997399475892932e-20,7.893636258389521443e-26
3.090314367663030149e-20,8.996088321146613558e-26
3.336845454511884725e-20,1.025181916431341052e-25
3.603043706010735505e-20,1.168187788988375148e-25
3.890478089906241851e-20,1.331016229651840605e-25
4.200842738959986360e-20,1.516379762976531703e-25
4.535966937649740631e-20,1.727356513432638910e-25
4.897825906067962031e-20,1.967438636123277344e-25
5.288552439009276242e-20,2.240586983128968319e-25
5.710449480313297766e-20,2.551292885231244158e-25
6.166003694387831959e-20,2.904647839970812982e-25
6.657900124884433623e-20,3.306422181206944726e-25
7.189038019696591439e-20,3.763153783764741589e-25
7.762547920688300071e-20,4.282248093629152077e-25
8.381810114936988667e-20,4.872090846383362706e-25
9.050474560291575909e-20,5.542175070655374833e-25
9.772482399542753120e-20,6.303244092985381904e-25
1.055208918723280193e-19,7.167452466626687176e-25
1.139388997974337224e-19,8.148547135317558842e-25
1.230284641312803630e-19,9.262071029629125823e-25
1.328431595602608712e-19,1.052559208557091164e-24
1.434408348117355954e-19,1.195896040467330852e-24
1.548839536860654987e-19,1.358459720708035836e-24
1.672399632575646394e-19,1.542781915907380704e-24
1.805816914067728073e-19,1.751720222718112345e-24
1.949877761061585522e-19,1.988498978982619557e-24
2.105431289748478673e-19,2.256755015043013584e-24
2.273394358036463386e-19,2.560588914818775620e-24
2.454756969266750879e-19,2.904622413173597270e-24
