4.817685985971193017e-15,1.940528709849608392e-21
5.202017667545975698e-15,2.117161873815200935e-21
5.617009471406068273e-15,2.312771391688430038e-21
6.065107313783769114e-15,2.529784608278858064e-21
6.548952234275845056e-15,2.770977520882488456e-21
7.071395961841615925e-15,3.039527011520637212e-21
7.635517722581041148e-15,3.339070759052780378e-21
8.244642388356042432e-15,3.673775966414603637e-21
8.902360073221095536e-15,4.048418212893604671e-21
9.612547293162027521e-15,4.468471603815452074e-21
1.037938981385681360e-14,4.940212076548754246e-21
1.120740732111981341e-14,5.470835501357627799e-21
1.210148005943490458e-14,6.068592439319092484e-21
1.306687759558186013e-14,6.742942163501741224e-21
1.410928987688571379e-14,7.504728376826306292e-21
1.523486076714297839e-14,8.366379335778700674e-21
1.645022425788186048e-14,9.342136071568418261e-21
1.776254356838160398e-14,1.044831212075161114e-20
1.917955336490225778e-14,1.170358919357866750e-20
2.070960534796030007e-14,1.312935349272637163e-20
2.236171747633662983e-14,1.475007849395237968e-20
2.414562711793776138e-14,1.659375967660314184e-20
2.607184844077559040e-14,1.869240948469968622e-20
2.815173438232201090e-14,2.108261930414373003e-20
3.039754356247830027e-14,2.380619862964249472e-20
3.282251253453863202e-14,2.691090190612628945e-20
3.544093379998472204e-14,3.045125469109773214e-20
3.826824004692410233e-14,3.448949237430033061e-20
4.132109510866322881e-14,3.909662841866477224e-20
4.461749217851555031e-14,4.435366801500513232e-20
4.817685985971193648e-14,5.035298934410836827e-20
5.202017667545976014e-14,5.719991188933483246e-20
5.617009471406069535e-14,6.501448102140732740e-20
6.065107313783768010e-14,7.393349586696502999e-20
6.548952234275846476e-14,8.411281426804172972e-20
7.071395961841616871e-14,9.572997149792493940e-20
7.635517722581040517e-14,1.089871532060570764e-19
8.244642388356079035e-14,1.241145771407956679e-19
8.902360073221058617e-14,1.413743253392079995e-19
9.612547293162027837e-14,1.610646995861320125e-19
1.037938981385681234e-13,1.835251588483895915e-19
1.120740732111981341e-13,2.091419284277593963e-19
1.210148005943490363e-13,2.383543471320876488e-19
1.306687759558185950e-13,2.716620804945684528e-19
1.410928987688571379e-13,3.096332806667328875e-19
1.523486076714297902e-13,3.529138465182805182e-19
1.645022425788185669e-13,4.022379031070057813e-19
1.776254356838160777e-13,4.584396712586747477e-19
1.917955336490225904e-13,5.224669135440854949e-19
2.070960534796029881e-13,5.953961461672537120e-19
2.236171747633663109e-13,6.784498403800173824e-19
2.414562711793776390e-13,7.730159115363685227e-19
2.607184844077569453e-13,8.806697158149751738e-19
2.815173438232189415e-13,1.003198939301204240e-18
3.039754356247830406e-13,1.142631725153736767e-18
3.282251253453862445e-13,1.301268422243814569e-18
3.544093379998472836e-13,1.481717466201862637e-18
3.826824004692410864e-13,1.686935852235629263e-18
4.132109510866322502e-13,1.920274824145694863e-18
4.461749217851555536e-13,2.185531391431154075e-18
4.817685985971194279e-13,2.487006423946829015e-18
5.202017667545976771e-13,2.829570115527572119e-18
